REF_AREA:Geographic area,INDICATOR:Indicator,AGE:Current age,STAT_POP:Statistical Population,1990,1995,2000,2005,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ABW: Aruba,"MG_INTNL_MG_CNTRY_DEST: International migrants, by country of destination",Y0T17: Under 18 years old,_T: Total,3,4,5,4,,,3,,,,,3,,,,,11,
AFG: Afghanistan,MG_INTERNAL_DISP_PERS: Internally displaced persons (IDPs),Y0T17: Under 18 years old,POP_CONF_VIOLENCE: Share due to conflict and violence,,,,,0,150000,170000,220000,240000,310000,400000,580000,760000,630000,1300000,1500000,1700000,2100000
AFG: Afghanistan,MG_INTERNAL_DISP_PERS: Internally displaced persons (IDPs),Y0T17: Under 18 years old,POP_DISASTER: Share due to disaster,,,,,0,0,0,0,0,0,0,0,0,0,0,590000,550000,670000
AFG: Afghanistan,MG_INTERNAL_DISP_PERS: Internally displaced persons (IDPs),Y0T17: Under 18 years old,_T: Total,,,,,0,150000,170000,220000,240000,310000,400000,580000,760000,630000,1300000,2100000,2300000,2800000
AFG: Afghanistan,"MG_INTNL_MG_CNTRY_DEST: International migrants, by country of destination",Y0T17: Under 18 years old,_T: Total,15,18,19,22,,,25,,,,,139,,,,,54,
AFG: Afghanistan,"MG_RFGS_CNTRY_ASYLM: Refugees, by country of asylum",Y0T17: Under 18 years old,_T: Total,,,,,,,,,,,,,,,,,,37672
AFG: Afghanistan,"MG_RFGS_CNTRY_ORIGIN: Refugees, by country of origin",Y0T17: Under 18 years old,_T: Total,,,,,,,,,,,,,,,,,,1240137
AGO: Angola,MG_INTERNAL_DISP_PERS: Internally displaced persons (IDPs),Y0T17: Under 18 years old,POP_CONF_VIOLENCE: Share due to conflict and violence,,,,,,0,0,0,0,0,,0,0,0,0,0,0,0
AGO: Angola,MG_INTERNAL_DISP_PERS: Internally displaced persons (IDPs),Y0T17: Under 18 years old,POP_DISASTER: Share due to disaster,,,,,,0,0,0,0,0,,0,0,0,0,580,420,3900
AGO: Angola,MG_INTERNAL_DISP_PERS: Internally displaced persons (IDPs),Y0T17: Under 18 years old,_T: Total,,,,,,0,0,0,0,0,,0,0,0,0,580,420,3900
AGO: Angola,"MG_INTNL_MG_CNTRY_DEST: International migrants, by country of destination",Y0T17: Under 18 years old,_T: Total,10,11,12,18,,,65,,,,,123,,,,,128,
AGO: Angola,"MG_RFGS_CNTRY_ASYLM: Refugees, by country of asylum",Y0T17: Under 18 years old,_T: Total,,,,,,,,,,,,,,,,,,14206
AIA: Anguilla,MG_INTERNAL_DISP_PERS: Internally displaced persons (IDPs),Y0T17: Under 18 years old,POP_CONF_VIOLENCE: Share due to conflict and violence,,,,,,,,,,,,,,0,,,,
AIA: Anguilla,MG_INTERNAL_DISP_PERS: Internally displaced persons (IDPs),Y0T17: Under 18 years old,POP_DISASTER: Share due to disaster,,,,,,,,,,,,,,0,,,,
AIA: Anguilla,MG_INTERNAL_DISP_PERS: Internally displaced persons (IDPs),Y0T17: Under 18 years old,_T: Total,,,,,,,,,,,,,,0,,,,
AIA: Anguilla,"MG_INTNL_MG_CNTRY_DEST: International migrants, by country of destination",Y0T17: Under 18 years old,_T: Total,<1,<1,1,1,,,1,,,,,1,,,,,1,
ALB: Albania,MG_INTERNAL_DISP_PERS: Internally displaced persons (IDPs),Y0T17: Under 18 years old,POP_CONF_VIOLENCE: Share due to conflict and violence,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0
ALB: Albania,MG_INTERNAL_DISP_PERS: Internally displaced persons (IDPs),Y0T17: Under 18 years old,POP_DISASTER: Share due to disaster,,,,,,0,0,,0,0,0,0,0,0,0,6900,3600,0
ALB: Albania,MG_INTERNAL_DISP_PERS: Internally displaced persons (IDPs),Y0T17: Under 18 years old,_T: Total,,,,,,0,0,,0,0,0,0,0,0,0,6900,3600,0
ALB: Albania,"MG_INTNL_MG_CNTRY_DEST: International migrants, by country of destination",Y0T17: Under 18 years old,_T: Total,14,21,29,29,,,28,,,,,26,,,,,24,
ALB: Albania,"MG_RFGS_CNTRY_ASYLM: Refugees, by country of asylum",Y0T17: Under 18 years old,_T: Total,,,,,,,,,,,,,,,,,,44
AND: Andorra,"MG_INTNL_MG_CNTRY_DEST: International migrants, by country of destination",Y0T17: Under 18 years old,_T: Total,6,5,3,3,,,3,,,,,3,,,,,3,
ARE: United Arab Emirates,MG_INTERNAL_DISP_PERS: Internally displaced persons (IDPs),Y0T17: Under 18 years old,POP_CONF_VIOLENCE: Share due to conflict and violence,,,,,,,,,,,,,,0,,0,0,0
ARE: United Arab Emirates,MG_INTERNAL_DISP_PERS: Internally displaced persons (IDPs),Y0T17: Under 18 years old,POP_DISASTER: Share due to disaster,,,,,,,,,,,,,,0,,3.4,0,0
ARE: United Arab Emirates,MG_INTERNAL_DISP_PERS: Internally displaced persons (IDPs),Y0T17: Under 18 years old,_T: Total,,,,,,,,,,,,,,0,,3.4,0,0
ARE: United Arab Emirates,"MG_INTNL_MG_CNTRY_DEST: International migrants, by country of destination",Y0T17: Under 18 years old,_T: Total,292,408,469,554,,,959,,,,,1047,,,,,1351,
ARE: United Arab Emirates,"MG_RFGS_CNTRY_ASYLM: Refugees, by country of asylum",Y0T17: Under 18 years old,_T: Total,,,,,,,,,,,,,,,,,,441
ARG: Argentina,MG_INTERNAL_DISP_PERS: Internally displaced persons (IDPs),Y0T17: Under 18 years old,POP_CONF_VIOLENCE: Share due to conflict and violence,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARG: Argentina,MG_INTERNAL_DISP_PERS: Internally displaced persons (IDPs),Y0T17: Under 18 years old,POP_DISASTER: Share due to disaster,,,,,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0
ARG: Argentina,MG_INTERNAL_DISP_PERS: Internally displaced persons (IDPs),Y0T17: Under 18 years old,_T: Total,,,,,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0
ARG: Argentina,"MG_INTNL_MG_CNTRY_DEST: International migrants, by country of destination",Y0T17: Under 18 years old,_T: Total,109,129,107,156,,,192,,,,,265,,,,,346,
